name,description,productImageUrl,collection,sku,visible
"4"" WHITE RIM with Poinsettia",,23f81e_a992ca3db41b47c4be4751a8603a3541~mv2.jpg,"Christmas;4"" pots",7010485900,TRUE
"4"" SILVER SNOWFLAKE with Poinsettia",,23f81e_bf5d455d24784778adcee39a62ee0428~mv2.jpg,"Christmas;4"" pots",7010619700,FALSE
"6"" LEMON CYPRESS TIN",,23f81e_83324735ce6c4140aa149c0e28550262~mv2.jpg,"Christmas;6"" pots",7015505100,FALSE
"6"" GOLD EMBOSS STARS with Poinsettia",,23f81e_7adc062bf77e42e2a66258358ab6fa78~mv2.jpg,"Christmas;6"" pots",7015231600,FALSE
"6x11"" SILVER SNOWFLAKE",,23f81e_f4a1a8aa7ae149719c9300960fcb5f3f~mv2.jpg,"Christmas;6x11"" planter",7188619900,FALSE
"6x11"" SNOWFALL",,23f81e_46e927411c524661a9c635164067b6b6~mv2.jpg,"Christmas;6x11"" planter",7188340600,FALSE
"6x11"" GOLD TREE'S",,23f81e_9a38e8bb82164b278828ad64e5370c08~mv2.jpg,"Christmas;6x11"" planter",7188540500,FALSE
"7"" GOLD TREE'S",,23f81e_3536edb830054aba8d7c3074de53daf2~mv2.jpg,"Christmas;7"" planter",7188540400,FALSE
"7"" SNOWFALL",,23f81e_ac248330f0694b5dbbedae630ccc536b~mv2.jpg,"Christmas;7"" planter",7188340400,FALSE
"7"" SKATING DEERS CRMC",,23f81e_1f555dbf677a49448733581a53d25919~mv2.jpg,"Christmas;7"" planter",7175470800,FALSE
"7"" CERAMIC TREE'S",,23f81e_906a2f90b469470e81b36fc153779274~mv2.jpg,"Christmas;7"" planter",7175848000,FALSE
"7"" SHOOTING STARS CRMC",,23f81e_d55eb382898f4c039db840ea05f924e6~mv2.jpg,"Christmas;7"" planter",7175244100,FALSE
"7"" EMBOSSED STARS",,23f81e_275929d596d0493d8f4934e095ea58c8~mv2.jpg,"Christmas;7"" planter",7188132300,FALSE
"7"" CHRISTMAS TAG",,23f81e_db8bf0a59507437e8fca3d39b6bc2506~mv2.jpg,"Christmas;7"" planter",7188501300,FALSE
"8"" EMBOSSED STARS",,23f81e_107c80b12a1b4a4baf5e7e33cedd5d93~mv2.jpg,"Christmas;8"" planter",7188132400,FALSE
"8"" CHRISTMAS TAG",,23f81e_11d982f1e59347d981623056a932d6d2~mv2.jpg,"Christmas;8"" planter",7188501400,FALSE
"8"" SNOWFALL",,23f81e_59b086ff46374198b5306ca8e1be2a6c~mv2.jpg,"Christmas;8"" planter",7188240300,FALSE
"8"" MONET CRMC",,23f81e_e55b880495c6472bb095f2100aa34da7~mv2.jpg,"Christmas;8"" planter",7175195700,FALSE
"8"" Rhonda",,23f81e_44ebabeaf7724ea5a960bfa9bf03658b~mv2.jpg,"8"" planter;Planters, Set Ins, and Novelties;Valentine's Day",7175189000,FALSE
"5x10"" SNOWFLAKE SLEIGH",,23f81e_94b4010272bb45cfbccde107d0a5350d~mv2.jpg,"Christmas;6x11"" planter",7188250100,FALSE
"6x8"" Oval Watering Can",,23f81e_15fdee87f31f48a887b4d9e84aea00ad~mv2.jpg,"Nature's Garden;Planters, Set Ins, and Novelties",7188469300,FALSE
"7"" Checker ceramic",,23f81e_75042876c28a42779cd075d7289fb914~mv2.jpg,"7"" planter;Fall;Planters, Set Ins, and Novelties",7175243400,FALSE
"4"" Fall Tin w/ Kalanchoe",,23f81e_4fc1c5cc71e04818bc68a9c5654228bb~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010402500,FALSE
"2"" Mini Pumpkin w/ Kalanchoe",,23f81e_19e00709bbe941a9bf9e956a5bb3ab9e~mv2.jpg,"2.25"" pots;Fall;Planters, Set Ins, and Novelties",7106187700,FALSE
"5x10"" Harvest Cart",,23f81e_16a69b31d2b34e9998ea975930c68d46~mv2.jpg,"Fall;Planters, Set Ins, and Novelties;Nature's Garden",7182110600,FALSE
"7"" Flowers & Garden",,23f81e_4e0b8b81e66143ac8189b71d3b7b5629~mv2.jpg,"7"" planter;Nature's Garden;Fall;Planters, Set Ins, and Novelties",7188318700,FALSE
"4"" Gloss Lines w/ Flowering",,23f81e_eb5df49b3cfd49d180b6663603229600~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010915400,FALSE
"4"" Rope Pot w/Mum",,23f81e_3ddcde4ec31847fca95ac004f337221a~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010501800,FALSE
"4"" Copper Pumpkin w/ Kal",,23f81e_51cbd0cd053f4ad0a8a9c2864727b629~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010848400,FALSE
"8"" Willow Basket",,23f81e_caac71b1e9c84026a412199837883055~mv2.jpg,"8"" planter;Fall;Planters, Set Ins, and Novelties",7181402900,FALSE
"7"" Embossed Lines",,23f81e_38a96565aca7497caa215e3a59c50a61~mv2.jpg,"7"" planter;Fall;Planters, Set Ins, and Novelties",7175284700,FALSE
"8"" Ribbed Planter",,23f81e_ed6963592d624b11964dfac815842cd6~mv2.jpg,"8"" planter;Fall;Planters, Set Ins, and Novelties",7181408100,FALSE
